society,price,price_persqft,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,sector,area,type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,ratio
anamika enclave,0.64,6500.0,2.0,2.0,1,not avilable,1.0,,New Property,sector 15 part 1,984.615,flat,1000.0,,,0,0,0,0,0,2,0,492.0
hcbs sports ville,0.28,3768.0,2.0,2.0,1,not avilable,11.0,East,Relatively New,sohna road,743.1,flat,,,643.0,0,0,0,0,0,2,38,372.0
puri the aravallis,3.87,17200.0,3.0,4.0,3+,servant room,21.0,East,Undefined,sector 61,2250.0,flat,2250.0,,1249.68879,0,1,0,0,0,2,58,750.0
brisk lumbini terrace homes,1.38,6338.0,3.0,3.0,1,not avilable,4.0,,Moderately Old,sector 109,2177.343,flat,,,2177.0,0,0,0,0,0,2,20,726.0
huda ashok vihar phase,0.43,6615.0,2.0,2.0,1,not avilable,2.0,,Relatively New,sector 4,650.038,flat,,,650.0,0,0,0,0,0,2,7,325.0
my home,0.29,3166.0,2.0,1.0,1,others,2.0,,Relatively New,new sector 2,915.982,flat,,,900.0,0,0,0,0,1,2,15,458.0
signature global city,1.1,9838.0,2.0,2.0,2,not avilable,4.0,South,Undefined,sector 37d,1118.113,flat,,,1118.0,0,0,0,0,0,2,59,559.0
m3m heights,2.0,13957.0,2.0,2.0,2,not avilable,32.0,,Undefined,sector 65,1432.973,flat,,,1000.0,0,0,0,0,0,2,48,716.0
signature global park,0.9,8035.0,3.0,2.0,2,not avilable,2.0,South,Undefined,sohna road,1120.1,flat,1120.0,,,0,0,0,0,0,2,144,373.0
signature global park,0.9,8036.0,3.0,2.0,0,not avilable,2.0,,Undefined,sohna road,1119.96,flat,,,,0,0,0,0,0,2,58,373.0
godrej nature plus,1.75,8768.0,3.0,3.0,0,not avilable,2.0,,Undefined,sector 33,1995.894,flat,,,,0,0,0,0,0,2,56,665.0
supertech hues,0.93,8611.0,2.0,2.0,2,not avilable,11.0,,Undefined,sector 68,1080.014,flat,,,1080.0,0,0,0,0,0,2,0,540.0
dlf new town heights,1.8,6600.0,4.0,4.0,3+,not avilable,23.0,,Moderately Old,sector 90,2727.273,flat,2727.0,,,0,0,0,0,0,2,67,682.0
central park flower valley aqua front towers,2.1,11738.0,3.0,3.0,2,not avilable,6.0,,Under Construction,sector 33,1789.061,flat,1789.0,,,0,0,0,0,0,2,24,596.0
ambience creacions,2.0,14492.0,2.0,2.0,2,not avilable,9.0,East,Relatively New,sector 22,1380.072,flat,,,1380.0,0,0,0,0,0,2,49,690.0
signature global city 63a,2.0,12800.0,3.0,3.0,2,not avilable,1.0,North,Undefined,sector 63a,1562.5,flat,,,,0,0,0,0,0,2,36,521.0
godrej oasis,1.29,7800.0,3.0,3.0,3,"study room,others",5.0,,New Property,sector 88a,1653.846,flat,1629.0,,1628.0,1,0,0,0,1,2,65,551.0
m3m skycity,2.85,15590.0,3.0,3.0,3,not avilable,43.0,South,Undefined,sector 65,1828.095,flat,1828.0,,,0,0,0,0,0,0,115,609.0
supertech araville,1.1,5641.0,3.0,3.0,3,not avilable,1.0,,Relatively New,sector 79,1950.009,flat,,,1950.0,0,0,0,0,0,0,106,650.0
smart world orchard,1.65,13750.0,2.0,2.0,2,study room,1.0,,Under Construction,sector 61,1200.0,flat,,,1200.0,1,0,0,0,0,2,16,600.0
