society,price,price_persqft,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,sector,area,type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,ratio
ats kocoon,1.7,12878.0,3.0,3.0,3,not avilable,22.0,East,Relatively New,sector 109,1320.081,flat,1745.0,,1320.0,0,0,0,0,0,2,103,440.0
emaar mgf the palm drive,3.5,15909.0,3.0,3.0,3,"servant room,store room",7.0,North-East,Moderately Old,sector 66,2200.013,flat,2200.0,,2000.0,0,1,1,0,0,0,149,733.0
bestech park view sanskruti,1.83,7870.0,4.0,3.0,3,servant room,8.0,East,New Property,sector 92,2325.286,flat,2325.0,,,0,1,0,0,0,2,128,581.0
dlf new town heights,1.25,8638.0,3.0,4.0,3+,servant room,0.0,North-West,Old Property,sector 90,1447.094,flat,,,1447.0,0,1,0,0,0,1,31,482.0
emaar palm gardens,1.8,12000.0,3.0,4.0,3+,servant room,6.0,South-West,Relatively New,sector 83,1500.0,flat,,,1500.0,0,1,0,0,0,0,96,500.0
emaar palm gardens,1.4,9675.0,3.0,3.0,3,servant room,11.0,North,Relatively New,sector 83,1447.028,flat,1720.0,,1447.0,0,1,0,0,0,1,58,482.0
m3m skywalk,1.54,11000.0,2.0,2.0,3+,others,22.0,South,Relatively New,sector 74,1400.0,flat,1400.0,,1100.0,0,0,0,0,1,2,137,700.0
vipul belmonte,6.0,24489.0,3.0,4.0,3+,"servant room,others",6.0,North-West,Moderately Old,sector 53,2450.08,flat,2450.0,,,0,1,0,0,1,0,26,817.0
dlf park place,4.85,25866.0,3.0,4.0,3+,servant room,25.0,South-East,Relatively New,sector 54,1875.048,flat,1875.0,,,0,1,0,0,0,0,26,625.0
dlf park place,4.86,25920.0,3.0,4.0,3+,servant room,7.0,West,Relatively New,sector 54,1875.0,flat,1875.0,,,0,1,0,0,0,0,49,625.0
central park resorts,5.15,20900.0,3.0,3.0,3+,servant room,8.0,North-West,Moderately Old,sector 48,2464.115,flat,2464.0,,2264.0,0,1,0,0,0,1,53,821.0
central park resorts,9.3,24926.0,4.0,4.0,3+,"pooja room,study room,servant room,store room",10.0,North-East,Moderately Old,sector 48,3731.044,flat,3931.0,,3731.0,1,1,1,1,0,0,67,933.0
bestech park view city,1.78,10022.0,3.0,4.0,2,"study room,pooja room",5.0,,Relatively New,sector 48,1776.093,flat,1776.0,,1300.0,1,0,0,1,0,2,53,592.0
vatika city,1.79,12785.0,3.0,3.0,3,servant room,9.0,,Old Property,sector 49,1400.078,flat,,,1400.0,0,1,0,0,0,2,38,467.0
siddhi vinayak apartments,1.44,9600.0,3.0,3.0,2,others,6.0,South,Moderately Old,sector 55,1500.0,flat,1850.0,,1500.0,0,0,0,0,1,0,47,500.0
madhur jeevan apartments,1.59,8594.0,4.0,3.0,3+,others,3.0,North,Old Property,sector 56,1850.128,flat,2000.0,,1850.0,0,0,0,0,1,0,33,463.0
the lions cghs,1.99,11055.0,4.0,4.0,3+,"pooja room,others",4.0,East,Old Property,sector 56,1800.09,flat,2400.0,,1800.0,0,0,0,1,1,0,105,450.0
professors enclave cghs,1.54,8324.0,3.0,3.0,2,"pooja room,servant room",6.0,South,Old Property,sector 56,1850.072,flat,2000.0,,1850.0,0,1,0,1,0,0,104,617.0
guru gram haryana cghs,1.39,8424.0,3.0,2.0,3,"pooja room,servant room",6.0,South,Old Property,sector 56,1650.047,flat,1850.0,,1650.0,0,1,0,1,0,0,89,550.0
park view apartment,1.74,7565.0,3.0,3.0,3+,"pooja room,servant room",2.0,South,Old Property,sector 56,2300.066,flat,2450.0,,2300.0,0,1,0,1,0,0,104,767.0
shapoorji pallonji joyville gurugram,1.28,10534.0,2.0,2.0,3,not avilable,10.0,East,Relatively New,sector 102,1215.113,flat,1215.0,,,0,0,0,0,0,2,49,608.0
ats tourmaline,1.72,8000.0,3.0,4.0,3+,servant room,7.0,South-West,Relatively New,sector 109,2150.0,flat,2150.0,,,0,1,0,0,0,2,167,717.0
ats tourmaline,1.5,8571.0,3.0,3.0,3+,not avilable,7.0,North-East,Relatively New,sector 109,1750.088,flat,1750.0,,,0,0,0,0,0,2,165,583.0
shapoorji pallonji joyville gurugram,1.41,10307.0,2.0,2.0,3,others,0.0,North-East,Relatively New,sector 102,1368.002,flat,1368.0,,,0,0,0,0,1,2,49,684.0
empire estate,3.5,16666.0,3.0,3.0,2,servant room,3.0,North-West,Moderately Old,sultanpur,2100.084,flat,2100.0,,,0,1,0,0,0,0,165,700.0
ats tourmaline,1.5,6976.0,3.0,4.0,3+,servant room,4.0,North-West,Relatively New,sector 109,2150.229,flat,2150.0,,1670.0,0,1,0,0,0,2,39,717.0
ats tourmaline,1.45,6744.0,3.0,4.0,3+,servant room,4.0,North-West,Relatively New,sector 109,2150.059,flat,2150.0,,1660.0,0,1,0,0,0,2,71,717.0
ss the leaf,2.13,7574.0,4.0,4.0,3,not avilable,2.0,North,Relatively New,sector 85,2812.252,flat,2812.0,,2200.0,0,0,0,0,0,2,49,703.0
ss the leaf,2.0,8305.0,3.0,4.0,3,servant room,6.0,North,Relatively New,sector 85,2408.188,flat,2408.0,,2200.0,0,1,0,0,0,2,49,803.0
ss the leaf,2.1,7467.0,4.0,4.0,3,"pooja room,study room,servant room",7.0,North,Relatively New,sector 85,2812.374,flat,2812.0,,2400.0,1,1,0,1,0,2,49,703.0
ss the leaf,2.13,7574.0,4.0,4.0,3,not avilable,6.0,North,Relatively New,sector 85,2812.252,flat,2812.0,,2400.0,0,0,0,0,0,2,49,703.0
ss the leaf,1.25,7179.0,2.0,2.0,3,not avilable,10.0,South-East,Relatively New,sector 85,1741.19,flat,1741.0,,1720.0,0,0,0,0,0,2,49,871.0
ss the leaf,1.19,7225.0,2.0,2.0,3,not avilable,4.0,South-East,Relatively New,sector 83,1647.059,flat,1640.0,,1620.0,0,0,0,0,0,2,49,824.0
ss the leaf,1.17,7001.0,2.0,2.0,3,not avilable,11.0,East,Relatively New,sector 85,1671.19,flat,1671.0,,1650.0,0,0,0,0,0,2,49,836.0
ss,2.09,7432.0,4.0,4.0,3,"pooja room,study room,servant room",8.0,South-East,Relatively New,sector 85,2812.164,flat,2812.0,,2400.0,1,1,0,1,0,2,49,703.0
ss,2.17,7716.0,4.0,4.0,3,"pooja room,study room,servant room",7.0,North,Relatively New,sector 85,2812.338,flat,2812.0,,2400.0,1,1,0,1,0,2,49,703.0
ss,2.14,7610.0,4.0,4.0,3,"pooja room,study room,servant room",6.0,North,Relatively New,sector 85,2812.089,flat,2812.0,,2000.0,1,1,0,1,0,2,49,703.0
ss,2.1,7467.0,4.0,4.0,3,not avilable,2.0,North-West,Relatively New,sector 85,2812.374,flat,2812.0,,2400.0,0,0,0,0,0,2,49,703.0
ss,1.98,8222.0,3.0,4.0,3,not avilable,6.0,West,Relatively New,sector 85,2408.173,flat,2408.0,,2200.0,0,0,0,0,0,2,42,803.0
ss the leaf,1.24,7122.0,2.0,2.0,3,not avilable,10.0,West,Relatively New,sector 85,1741.084,flat,1741.0,,1720.0,0,0,0,0,0,2,49,871.0
ss,1.18,7170.0,2.0,2.0,3,not avilable,4.0,West,Relatively New,sector 85,1645.746,flat,1640.0,,1620.0,0,0,0,0,0,2,49,823.0
ss,1.2,7151.0,2.0,2.0,3,not avilable,15.0,North-East,Relatively New,sector 85,1678.087,flat,1671.0,,1650.0,0,0,0,0,0,2,49,839.0
ss,1.19,7121.0,2.0,2.0,3,not avilable,11.0,West,Relatively New,sector 85,1671.114,flat,1671.0,,1660.0,0,0,0,0,0,2,49,836.0
orchid petals,2.09,11578.0,3.0,3.0,3,not avilable,0.0,South,Relatively New,sector 49,1805.148,flat,1805.0,,,0,0,0,0,0,2,49,602.0
orchid petals,2.45,11887.0,3.0,3.0,3,study room,0.0,North-East,Relatively New,sector 49,2061.075,flat,2061.0,,,1,0,0,0,0,2,49,687.0
orchid petals,2.23,10969.0,3.0,3.0,3,others,14.0,North,Relatively New,sector 49,2033.002,flat,2033.0,,,0,0,0,0,1,2,40,678.0
orchid petals,4.21,11835.0,5.0,6.0,3+,"pooja room,servant room",14.0,South-East,Relatively New,sector 49,3557.245,flat,3557.0,,,0,1,0,1,0,2,35,711.0
orchid petals,4.16,11700.0,5.0,4.0,3+,"study room,servant room",14.0,East,Relatively New,sector 49,3555.556,flat,3557.0,,,1,1,0,0,0,2,40,711.0
orchid petals,4.52,10984.0,5.0,5.0,3+,"pooja room,study room,servant room",14.0,West,Moderately Old,sector 49,4115.076,flat,4115.0,,,1,1,0,1,0,2,49,823.0
godrej aria,0.95,6551.0,2.0,2.0,3,not avilable,5.0,East,Relatively New,sector 79,1450.16,flat,,,1450.0,0,0,0,0,0,0,174,725.0
ireo uptown,1.5,11219.0,2.0,3.0,3,"others,servant room",1.0,South,Relatively New,sector 66,1337.018,flat,1337.0,,1050.0,0,1,0,0,1,0,79,669.0
raisina residency,5.0,13058.0,4.0,4.0,3+,"servant room,pooja room,study room,store room",13.0,North-West,Relatively New,sector 59,3829.07,flat,,,3829.0,1,1,1,1,0,0,174,957.0
tata primanti,4.0,16032.0,4.0,5.0,3+,servant room,22.0,West,Relatively New,sector 72,2495.01,flat,2905.0,,2495.0,0,1,0,0,0,0,174,624.0
signature global orchard avenue,0.36,6715.0,2.0,2.0,2,not avilable,6.0,North,Relatively New,sector 93,536.113,flat,,,543.57695,0,0,0,0,0,2,16,268.0
bestech park view grand spa,4.7,6786.0,4.0,4.0,3+,servant room,19.0,North,Relatively New,sector 81,6926.024,flat,6926.0,,,0,1,0,0,0,0,140,1732.0
bestech park view ananda,0.95,10626.0,2.0,2.0,2,not avilable,2.0,North-East,Relatively New,sector 81,894.034,flat,1360.0,,894.0,0,0,0,0,0,0,104,447.0
signature global orchard avenue,0.38,6387.0,2.0,2.0,2,not avilable,7.0,North,Relatively New,sector 93,594.959,flat,,,594.920753,0,0,0,0,0,2,16,297.0
vatika gurgaon,1.1,6051.0,3.0,3.0,3,servant room,12.0,North,Relatively New,sector 83,1817.881,flat,1735.0,,,0,1,0,0,0,0,66,606.0
bestech park view sanskruti,1.55,7568.0,3.0,4.0,3,servant room,16.0,South,Relatively New,sector 92,2048.097,flat,1995.0,,,0,1,0,0,0,0,60,683.0
bestech park view sanskruti,1.55,9687.0,3.0,3.0,3,servant room,17.0,,Relatively New,sector 92,1600.083,flat,1995.0,,1600.0,0,1,0,0,0,0,60,533.0
bestech park view sanskruti,2.0,8333.0,4.0,5.0,3+,servant room,12.0,North,Relatively New,sector 92,2400.096,flat,2475.0,,2400.0,0,1,0,0,0,0,60,600.0
dlf the ultima,2.3,14603.0,3.0,4.0,3+,servant room,27.0,East,Relatively New,sector 81,1575.019,flat,2100.0,,1575.0,0,1,0,0,0,0,119,525.0
ss the leaf,2.1,7467.0,4.0,5.0,3+,not avilable,9.0,East,Relatively New,sector 85,2812.374,flat,2812.0,,,0,0,0,0,0,0,67,703.0
vatika lifestyle homes,1.3,4545.0,3.0,3.0,1,not avilable,6.0,North-West,Relatively New,sector 83,2860.286,flat,2860.0,,,0,0,0,0,0,0,79,953.0
signature global synera,0.4,6319.0,2.0,2.0,1,not avilable,12.0,South,Relatively New,sector 81,633.012,flat,633.0,,539.0,0,0,0,0,0,2,23,317.0
tata primanti,3.3,15102.0,3.0,4.0,3+,servant room,15.0,North,New Property,sector 72,2185.141,flat,2185.0,,1600.0,0,1,0,0,0,1,174,728.0
shree vardhman victoria,1.1,8461.0,2.0,2.0,2,study room,0.0,West,New Property,sector 70,1300.083,flat,1300.0,,788.0,1,0,0,0,0,2,49,650.0
ss the leaf,1.2,9677.0,2.0,2.0,3+,store room,9.0,East,Relatively New,sector 85,1240.054,flat,1772.0,,1240.0,0,0,1,0,0,2,148,620.0
ss the leaf,2.15,10924.0,4.0,5.0,3+,servant room,6.0,South,Relatively New,sector 85,1968.144,flat,2812.0,,1968.0,0,1,0,0,0,2,156,492.0
ss the leaf,2.0,11869.0,3.0,4.0,3,servant room,5.0,West,Relatively New,sector 85,1685.062,flat,2408.0,,1685.0,0,1,0,0,0,2,156,562.0
ss the leaf,2.1,8720.0,3.0,4.0,3+,servant room,6.0,North,Relatively New,sector 85,2408.257,flat,2408.0,,1685.0,0,1,0,0,0,2,156,803.0
ss the leaf,1.2,10452.0,2.0,2.0,3+,store room,2.0,West,Relatively New,sector 85,1148.106,flat,1640.0,,1148.0,0,0,1,0,0,2,156,574.0
ss the leaf,1.3,7779.0,2.0,2.0,3+,store room,16.0,East,Relatively New,sector 85,1671.166,flat,1671.0,,1169.0,0,0,1,0,0,2,148,836.0
ss the leaf,1.3,10483.0,2.0,2.0,3+,store room,10.0,East,Relatively New,sector 85,1240.103,flat,1772.0,,1240.0,0,0,1,0,0,2,148,620.0
ss the leaf,1.2,7317.0,2.0,2.0,3+,store room,14.0,East,Relatively New,sector 85,1640.016,flat,1640.0,,1148.0,0,0,1,0,0,2,141,820.0
ss the leaf,1.1,6318.0,2.0,2.0,3+,store room,3.0,South-East,Relatively New,sector 85,1741.057,flat,1741.0,,1218.0,0,0,1,0,0,2,143,871.0
ss the leaf,1.25,10888.0,2.0,2.0,3+,store room,17.0,East,Relatively New,sector 85,1148.053,flat,1741.0,,1148.0,0,0,1,0,0,2,156,574.0
ss the leaf,1.15,10017.0,2.0,2.0,3+,store room,18.0,East,Relatively New,sector 85,1148.048,flat,1640.0,,1148.0,0,0,1,0,0,2,156,574.0
aipl zen residences,1.75,10257.0,3.0,4.0,3+,others,20.0,North-East,Relatively New,sector 70a,1706.152,flat,,,1050.0,0,0,0,0,1,1,49,569.0
shree vardhman victoria,1.65,8461.0,3.0,5.0,3,"servant room,pooja room",6.0,North-East,Relatively New,sector 70,1950.124,flat,1950.0,,1161.0,0,1,0,1,0,2,167,650.0
puri emerald bay,2.55,10408.0,4.0,4.0,3+,servant room,5.0,East,Relatively New,sector 104,2450.038,flat,2450.0,,2150.0,0,1,0,0,0,2,49,613.0
tata primanti,3.9,13425.0,4.0,4.0,3+,"servant room,others",39.0,East,Relatively New,sector 72,2905.028,flat,2905.0,,2150.0,0,1,0,0,1,2,49,726.0
m3m sierra 68,1.08,8674.0,2.0,2.0,3,not avilable,1.0,West,Relatively New,sector 68,1245.1,flat,1245.0,,930.0,0,0,0,0,0,0,149,623.0
m3m ikonic,1.8,9230.0,3.0,3.0,3+,not avilable,18.0,North-East,Relatively New,sector 68,1950.163,flat,1950.0,,1530.0,0,0,0,0,0,0,126,650.0
m3m sierra 68,1.13,9076.0,2.0,2.0,3,not avilable,9.0,West,Relatively New,sector 68,1245.042,flat,1245.0,,930.0,0,0,0,0,0,0,149,623.0
m3m ikonic,1.78,9128.0,3.0,3.0,3+,not avilable,27.0,South,Relatively New,sector 68,1950.044,flat,1950.0,,1530.0,0,0,0,0,0,0,126,650.0
m3m sierra 68,1.1,8986.0,2.0,2.0,3,not avilable,1.0,North-East,Relatively New,sector 68,1224.126,flat,1224.0,,830.0,0,0,0,0,0,0,127,612.0
aipl the peaceful homes,2.5,11627.0,3.0,3.0,3+,others,15.0,North-East,Relatively New,sector 70a,2150.168,flat,2150.0,,1350.0,0,0,0,0,1,0,174,717.0
ss the leaf,1.84,7641.0,3.0,4.0,3,pooja room,8.0,South-East,Relatively New,sector 85,2408.062,flat,2408.0,,1685.0,0,0,0,1,0,2,158,803.0
ss the leaf,1.18,10094.0,2.0,3.0,3,pooja room,12.0,North,Relatively New,sector 85,1169.011,flat,1671.0,,1169.0,0,0,0,1,0,0,150,585.0
shree vardhman victoria,1.63,8358.0,3.0,3.0,3,"servant room,others",5.0,East,New Property,sector 70,1950.227,flat,1950.0,,1161.0,0,1,0,0,1,2,49,650.0
adani m2k oyster grande,2.5,7817.0,4.0,5.0,3+,servant room,5.0,South,Relatively New,sector 102,3198.158,flat,3198.0,,,0,1,0,0,0,2,76,800.0
m3m woodshire,1.45,6141.0,3.0,4.0,3+,servant room,7.0,South,Relatively New,sector 107,2361.179,flat,2361.0,,,0,1,0,0,0,2,67,787.0
experion the heartsong,1.2,6825.0,3.0,3.0,3+,study room,10.0,South,Relatively New,sector 108,1758.242,flat,1758.0,,974.671145,1,0,0,0,0,2,93,586.0
experion the heartsong,1.6,7988.0,3.0,4.0,3+,servant room,3.0,South,Relatively New,sector 108,2003.005,flat,2003.0,,1140.9734,0,1,0,0,0,0,60,668.0
pyramid urban,0.62,11854.0,2.0,2.0,2,not avilable,2.0,South,Relatively New,sector 67a,523.03,flat,,,523.0,0,0,0,0,0,2,64,262.0
pyramid urban,0.55,10516.0,2.0,2.0,2,not avilable,3.0,South-West,Relatively New,sector 67a,523.013,flat,,,523.0,0,0,0,0,0,2,73,262.0
ireo skyon,2.85,13936.0,3.0,4.0,3+,servant room,5.0,South,Relatively New,sector 60,2045.063,flat,2045.0,,1490.0,0,1,0,0,0,0,174,682.0
ss the leaf,1.31,7987.0,2.0,2.0,2,servant room,5.0,West,Relatively New,sector 85,1640.165,flat,,,1640.0,0,1,0,0,0,2,89,820.0
ss the leaf,2.2,11178.0,4.0,5.0,3+,"pooja room,servant room",4.0,West,Relatively New,sector 85,1968.152,flat,2812.0,,1968.0,0,1,0,1,0,2,174,492.0
experion windchants,3.0,11538.0,3.0,3.0,2,others,2.0,North,Relatively New,sector 112,2600.104,flat,2802.0,,2200.0,0,0,0,0,1,0,49,867.0
dlf new town heights,1.3,6735.0,3.0,3.0,3,"pooja room,servant room",15.0,South,Relatively New,sector 86,1930.215,flat,1930.0,,,0,1,0,1,0,0,49,643.0
adani m2k oyster grande,1.95,7561.0,3.0,4.0,3,"study room,servant room",9.0,South,Relatively New,sector 102,2579.024,flat,2579.0,,,1,1,0,0,0,0,83,860.0
experion the heartsong,0.9,7014.0,2.0,3.0,3,servant room,2.0,South,Relatively New,sector 108,1283.148,flat,1283.0,,734.420897,0,1,0,0,0,2,94,642.0
m3m woodshire,1.2,6176.0,3.0,3.0,3,not avilable,7.0,South,Relatively New,sector 107,1943.005,flat,1943.0,,1550.0,0,0,0,0,0,0,49,648.0
signature global solera,0.36,6569.0,2.0,2.0,1,not avilable,9.0,South,Relatively New,sector 107,548.029,flat,548.0,,,0,0,0,0,0,2,28,274.0
signature global solera,0.37,6751.0,2.0,2.0,1,not avilable,10.0,South,Relatively New,sector 107,548.067,flat,548.0,,,0,0,0,0,0,2,73,274.0
signature global solera,0.5,4761.0,3.0,2.0,2,others,5.0,South,Relatively New,sector 107,1050.2,flat,1050.0,,645.0,0,0,0,0,1,2,35,350.0
beverley park 1,8.44,16230.0,4.0,5.0,3,servant room,9.0,North-East,Moderately Old,sector 43,5200.246,flat,5200.0,,4900.0,0,1,0,0,0,1,117,1300.0
mapsko royale ville,1.12,6256.0,3.0,3.0,2,pooja room,12.0,North-East,Relatively New,sector 82,1790.281,flat,1790.0,,1400.0,0,0,0,1,0,0,49,597.0
mapsko royale ville,1.12,8000.0,3.0,4.0,2,"pooja room,servant room",6.0,North-West,Relatively New,sector 82,1400.0,flat,1790.0,,1400.0,0,1,0,1,0,0,174,467.0
signature global synera,0.39,6500.0,2.0,2.0,2,not avilable,6.0,South-West,Relatively New,sector 81,600.0,flat,,,600.0,0,0,0,0,0,2,37,300.0
signature global synera,0.38,9500.0,1.0,1.0,2,not avilable,3.0,South-West,Relatively New,sector 81,400.0,flat,,,400.0,0,0,0,0,0,2,43,400.0
shree vardhman victoria,1.65,8461.0,3.0,3.0,2,study room,6.0,North-West,Relatively New,sector 70,1950.124,flat,,,1950.0,1,0,0,0,0,2,72,650.0
shree vardhman victoria,1.15,8518.0,2.0,2.0,2,study room,6.0,South-West,Relatively New,sector 70,1350.082,flat,,,1350.0,1,0,0,0,0,2,85,675.0
ireo skyon,2.15,23344.0,2.0,3.0,2,servant room,5.0,East,Relatively New,sector 60,921.008,flat,1524.0,,921.0,0,1,0,0,0,0,49,461.0
tulip ivory,2.1,8750.0,4.0,5.0,3+,servant room,5.0,West,Moderately Old,sector 70,2400.0,flat,2400.0,,1850.0,0,1,0,0,0,0,120,600.0
tulip ivory,2.0,8333.0,4.0,5.0,3+,servant room,6.0,East,Moderately Old,sector 70,2400.096,flat,2400.0,,1850.0,0,1,0,0,0,0,95,600.0
orchid petals,1.9,10526.0,3.0,3.0,3,servant room,9.0,North-West,Moderately Old,sector 49,1805.054,flat,,,1805.0,0,1,0,0,0,0,95,602.0
new sathi apartments,1.59,7066.0,3.0,3.0,3+,study room,3.0,North,Moderately Old,sector 54,2250.212,flat,,,,1,0,0,0,0,0,127,750.0
kanchanjanga tower,1.45,7631.0,3.0,3.0,3+,not avilable,2.0,North,Moderately Old,sector 56,1900.144,flat,1900.0,,,0,0,0,0,0,0,126,633.0
guru gram haryana cghs,1.39,7227.0,3.0,3.0,3,study room,4.0,North,Moderately Old,sector 56,1923.343,flat,1920.0,,,1,0,0,0,0,0,134,641.0
parsvnath exotica,5.0,17271.0,3.0,4.0,3+,"pooja room,servant room,others",8.0,North-East,Relatively New,sector 53,2895.026,flat,2895.0,,2200.0,0,1,0,1,1,0,49,965.0
sukhshanti apartment,1.65,7006.0,3.0,3.0,3+,study room,5.0,North,Moderately Old,sector 56,2355.124,flat,2355.0,,,1,0,0,0,0,0,134,785.0
ireo the corridors,1.6,9264.0,3.0,3.0,2,store room,3.0,North,New Property,sector 67a,1727.116,flat,1727.0,,1017.0,0,0,1,0,0,0,142,576.0
guru gram haryana cghs,1.38,7225.0,3.0,3.0,3,study room,5.0,North,Moderately Old,sector 56,1910.035,flat,,,,1,0,0,0,0,0,134,637.0
ireo the corridors,1.8,9370.0,3.0,3.0,2,"store room,study room",3.0,North,New Property,sector 67a,1921.025,flat,1921.0,,1227.945712,1,0,1,0,0,0,150,640.0
ireo the corridors,1.62,9380.0,3.0,3.0,2,store room,4.0,North,New Property,sector 67a,1727.079,flat,1727.0,,1017.0,0,0,1,0,0,0,142,576.0
kiran residency,1.5,6648.0,3.0,5.0,3+,"pooja room,study room",4.0,South-East,Moderately Old,sector 56,2256.318,flat,,,,1,0,0,1,0,0,134,752.0
ireo the corridors,1.85,9531.0,3.0,4.0,3,"study room,store room",4.0,East,New Property,sector 67a,1941.035,flat,,,,1,0,1,0,0,0,150,647.0
ireo the corridors,1.8,14658.0,3.0,3.0,3,"servant room,store room",6.0,North,New Property,sector 67a,1227.998,flat,1921.0,,1227.945712,0,1,1,0,0,0,150,409.0
bptp terra,1.8,8215.0,4.0,3.0,3,study room,12.0,North,Relatively New,sector 37d,2191.114,flat,2191.0,,,1,0,0,0,0,0,144,548.0
shree vardhman victoria,1.62,13953.0,3.0,3.0,3,servant room,9.0,North,Relatively New,sector 70,1161.041,flat,1950.0,,1161.0,0,1,0,0,0,2,96,387.0
bptp terra,1.78,8124.0,4.0,3.0,3,servant room,10.0,East,Relatively New,sector 37d,2191.039,flat,2191.0,,,0,1,0,0,0,2,127,548.0
bptp terra,1.55,8558.0,3.0,3.0,3+,not avilable,11.0,South,Relatively New,sector 37d,1811.171,flat,1811.0,,,0,0,0,0,0,2,79,604.0
millenium bajrang society,2.5,9433.0,4.0,4.0,3+,not avilable,2.0,South,Relatively New,sector 43,2650.27,flat,2650.0,,,0,0,0,0,0,0,94,663.0
unitech uniworld gardens,2.15,10306.0,3.0,4.0,3+,servant room,10.0,East,Moderately Old,sector 47,2086.163,flat,2086.0,,1750.0,0,1,0,0,0,2,49,695.0
experion windchants,5.6,11529.0,4.0,6.0,3+,servant room,15.0,North-East,Moderately Old,sector 112,4857.316,flat,4857.0,,,0,1,0,0,0,0,157,1214.0
emaar mgf palm hills,1.25,8620.0,3.0,4.0,3,"study room,servant room",3.0,North,Relatively New,sector 77,1450.116,flat,1450.0,,1177.0,1,1,0,0,0,2,49,483.0
umang winter hills,1.1,5296.0,3.0,4.0,3+,servant room,9.0,North,Relatively New,sector 77,2077.039,flat,2077.0,,1600.0,0,1,0,0,0,2,49,692.0
suncity platinum towers,6.0,22346.0,3.0,3.0,2,servant room,8.0,South-East,Moderately Old,sector 28,2685.044,flat,,,2685.0,0,1,0,0,0,2,31,895.0
suncity platinum towers,7.0,22222.0,4.0,3.0,2,servant room,10.0,North,Moderately Old,sector 28,3150.032,flat,3150.0,,1913.0,0,1,0,0,0,2,31,788.0
ss hibiscus,6.0,12272.0,4.0,3.0,3,servant room,5.0,South-East,Moderately Old,sector 50,4889.179,flat,4400.0,,,0,1,0,0,0,2,31,1222.0
the penthouses at the hibiscus,8.0,8888.0,4.0,3.0,3,servant room,7.0,South-East,Moderately Old,sector 50,9000.9,flat,,,9000.0,0,1,0,0,0,2,35,2250.0
tata primanti,3.5,11428.0,4.0,5.0,3+,"servant room,others",16.0,East,Relatively New,sector 72,3062.653,flat,,,,0,1,0,0,1,2,31,766.0
tata primanti,4.0,13769.0,4.0,5.0,2,servant room,7.0,South-East,Moderately Old,sector 72,2905.077,flat,2905.0,,,0,1,0,0,0,2,38,726.0
m3m golfestate,7.0,18181.0,3.0,3.0,2,store room,12.0,North,Moderately Old,sector 65,3850.173,flat,,,3850.0,0,0,1,0,0,2,60,1283.0
experion windchants,6.5,10416.0,4.0,5.0,3,not avilable,11.0,South,Relatively New,sector 112,6240.399,flat,,,,0,0,0,0,0,2,55,1560.0
tata primanti,3.4,15560.0,3.0,4.0,3+,servant room,9.0,,Moderately Old,sector 72,2185.09,flat,2185.0,,,0,1,0,0,0,2,38,728.0
aipl the peaceful homes,2.6,12009.0,3.0,2.0,2,servant room,12.0,,Moderately Old,sector 70a,2165.043,flat,,,2165.0,0,1,0,0,0,2,52,722.0
tata primanti,3.5,11428.0,4.0,5.0,3+,"servant room,others",10.0,West,Relatively New,sector 72,3062.653,flat,,,,0,1,0,0,1,2,38,766.0
siddhartha apartment,0.72,3664.0,3.0,3.0,2,others,4.0,East,Relatively New,sector 95,1965.066,flat,1965.0,,1600.0,0,0,0,0,1,2,21,655.0
experion windchants,3.65,11428.0,3.0,5.0,2,servant room,3.0,South-West,Relatively New,sector 112,3193.91,flat,,,,0,1,0,0,0,2,72,1065.0
ramsons kshitij,0.28,3650.0,2.0,2.0,2,others,5.0,North-West,New Property,sector 95,767.123,flat,767.0,,,0,0,0,0,1,2,0,384.0
the close north,2.92,11209.0,3.0,3.0,3,servant room,10.0,North,Moderately Old,sector 50,2605.05,flat,2605.0,,2100.0,0,1,0,0,0,0,174,868.0
unitech fresco,1.82,9912.0,3.0,3.0,3+,others,14.0,East,Moderately Old,sector 50,1836.158,flat,1836.0,,1500.0,0,0,0,0,1,0,174,612.0
m3m the marina,1.02,8095.0,2.0,2.0,2,others,11.0,North-East,Relatively New,sector 68,1260.037,flat,1260.0,,800.0,0,0,0,0,1,0,49,630.0
shree vardhman flora,0.65,4814.0,2.0,2.0,3,study room,3.0,North,Relatively New,sector 90,1350.229,flat,1350.0,,,1,0,0,0,0,2,106,675.0
gls avenue 51,0.39,6077.0,3.0,3.0,3+,not avilable,6.0,North,Relatively New,sector 92,641.764,flat,,,641.743718,0,0,0,0,0,2,104,214.0
dlf regal gardens,1.15,6325.0,3.0,3.0,3+,pooja room,18.0,North-West,Relatively New,sector 90,1818.182,flat,1818.0,,,0,0,0,1,0,0,130,606.0
emaar mgf emerald estate,1.42,13921.0,2.0,2.0,2,study room,6.0,North-East,Relatively New,sector 65,1020.042,flat,1020.0,,750.0,1,0,0,0,0,0,174,510.0
orchid petals,2.35,11559.0,3.0,3.0,3,others,15.0,West,Relatively New,sector 49,2033.048,flat,2033.0,,1750.0,0,0,0,0,1,2,49,678.0
orchid petals,2.38,11497.0,3.0,4.0,3,study room,1.0,West,Relatively New,sector 49,2070.105,flat,2070.0,,1750.0,1,0,0,0,0,2,49,690.0
