price,bedRoom,bathroom,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,floor_type,agePossession,sector,type,luxury,balcony
0.72,2.0,2.0,706.0,0,0,1,0,0,2,2.0,3.0,180.0,0.0,1.0,1.0
1.31,2.0,2.0,1640.0,0,1,0,0,0,2,1.0,3.0,169.0,0.0,2.0,1.0
5.5,4.0,4.0,1797.0,0,0,1,1,0,2,3.0,0.0,96.0,1.0,1.0,4.0
1.55,3.0,3.0,1300.0,0,0,0,0,0,0,1.0,1.0,105.0,0.0,0.0,4.0
0.21,1.0,1.0,394.0,0,0,0,0,0,2,3.0,3.0,190.0,0.0,0.0,0.0
2.32,3.0,4.0,1600.0,0,1,0,0,0,0,2.0,0.0,146.0,0.0,2.0,4.0
5.0,9.0,9.0,2368.0,0,1,1,0,0,0,3.0,0.0,117.0,1.0,2.0,4.0
18.5,4.0,4.0,6996.0,0,0,0,0,0,2,3.0,0.0,124.0,1.0,1.0,0.0
1.08,3.0,4.0,1600.0,1,1,0,0,1,0,1.0,3.0,158.0,0.0,3.0,4.0
1.29,3.0,3.0,1254.4,0,0,0,1,0,0,2.0,3.0,149.0,0.0,2.0,0.0
1.64,3.0,5.0,1161.0,0,1,0,0,0,2,3.0,3.0,151.0,0.0,1.0,3.0
0.5,2.0,2.0,635.0,0,0,0,0,0,2,1.0,3.0,164.0,0.0,3.0,3.0
3.15,4.0,5.0,4702.12,0,0,0,0,0,2,2.0,3.0,65.0,1.0,2.0,2.0
1.45,3.0,3.0,1100.0,0,1,0,0,0,2,1.0,3.0,64.0,0.0,1.0,3.0
1.6,3.0,3.0,1400.0,0,0,0,0,0,2,3.0,1.0,7.0,0.0,1.0,3.0
2.48,3.0,3.0,1760.0,0,1,0,0,0,2,1.0,1.0,78.0,0.0,2.0,4.0
2.15,1.0,1.0,1646.28,0,0,0,0,0,2,3.0,0.0,120.0,1.0,0.0,2.0
1.99,2.0,2.0,963.0,0,0,0,0,0,2,2.0,1.0,64.0,0.0,3.0,1.0
0.32,2.0,2.0,744.013,0,0,0,0,0,2,3.0,3.0,190.0,0.0,2.0,0.0
