building type_1 BHK,area low 1 BHK,area high 1 BHK,price low 1 BHK,price high 1 BHK,building type_2 BHK,area low 2 BHK,area high 2 BHK,price low 2 BHK,price high 2 BHK,building type_3 BHK,area low 3 BHK,area high 3 BHK,price low 3 BHK,price high 3 BHK,building type_4 BHK,area low 4 BHK,area high 4 BHK,price low 4 BHK,price high 4 BHK,building type_5 BHK,area low 5 BHK,area high 5 BHK,price low 5 BHK,price high 5 BHK,building type_6 BHK,area low 6 BHK,area high 6 BHK,price low 6 BHK,price high 6 BHK,building type_1 RK,area low 1 RK,area high 1 RK,price low 1 RK,price high 1 RK,building type_Land,area low Land,area high Land,price low Land,price high Land
,,,,,Independent Floor,1067.0,1105.0,83.0,0.9017000000000001,Independent Floor,1423.0,1423.0,1.16,1.25,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.0,1620.0,0.9186,2.76
,,,,,Independent Floor,1090.0,1090.0,,,Independent Floor,1313.0,1875.0,1.04,1.48,,,,,,,,,,,,,,,,,,,,,,2700.0,5625.0,2.16,4.5
,,,,,,,,,,Independent Floor,1614.59,1614.59,1.43,1.51,,,,,,,,,,,,,,,,,,,,,,1264.76,1614.91,3.01,3.85
,,,,,,,,,,Apartment,2025.0,2025.0,1.39,1.52,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Independent Floor,745.51,745.51,,,Independent Floor,1081.67,1081.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Villa,5605.0,5605.0,8.8,9.0,Villa,6520.0,8120.0,10.47,13.04,,,,,,,,,,,,2400.0,5175.0,7.48,20.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1124.83,1124.83,,
,,,,,,,,,,Apartment,1249.65,1249.65,4.12,4.32,Apartment,1627.45,1627.45,5.08,5.63,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Villa,3153.2,3153.2,,,Villa,3166.45,4497.0,4.4,6.26,Villa,5026.75,7330.89,6.85,9.99,,,,,,,,,,,,,,,
,,,,,Apartment,1000.0,1300.0,1.35,2.03,Villa,3800.0,3800.0,,,Apartment,2100.0,4050.0,2.52,6.0,Apartment,5250.0,5250.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.0,1620.0,2.62,3.15
,,,,,Apartment,1550.0,1700.0,1.55,2.29,Apartment,2450.0,2450.0,2.65,3.29,Apartment,2450.0,2450.0,2.85,3.16,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1435.0,1435.0,,,Apartment,2382.0,3548.0,2.08,5.21,Apartment,2847.0,5977.0,3.42,8.78,Apartment,4833.0,5400.0,7.1,7.93,,,,,,,,,,,,,,,
,,,,,,,,,,Independent Floor,1789.5,1789.5,1.07,1.45,Independent Floor,2249.66,2699.59,1.35,2.47,,,,,,,,,,,,,,,,,1800.0,4518.0,1.62,4.07
,,,,,,,,,,Apartment,2145.0,2550.0,2.25,3.27,Villa,7000.0,8500.0,7.5,9.11,Apartment,4750.0,5800.0,5.53,6.75,,,,,,,,,,,,,,,
,,,,,Apartment,1985.0,1985.0,,,Apartment,1875.0,2329.0,3.94,5.96,Apartment,2550.0,2721.0,5.66,7.15,,,,,,,,,,,,,,,,,,,,
,,,,,Independent Floor,1093.0,1620.0,1.09,1.63,Independent Floor,1230.0,1274.0,1.15,1.27,Villa,3700.0,3700.0,,,,,,,,,,,,,,,,,,,1620.0,9000.0,1.94,10.8
,,,,,Apartment,1365.0,1524.0,2.05,2.29,Apartment,2045.0,2403.0,3.07,3.61,Apartment,2768.0,3155.0,4.16,4.74,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1565.0,1719.0,1.49,1.72,Apartment,2150.0,2475.0,2.04,2.48,Apartment,2925.0,2925.0,2.78,2.93,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,1689.0,2598.0,1.5,2.6,Apartment,3188.0,4750.0,2.9,4.6,Apartment,5790.0,7283.0,5.2,6.77,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2322.0,6300.0,3.87,10.5
,,,,,,,,,,Independent Floor,1600.0,1650.0,1.9,2.8,Independent Floor,1975.0,1975.0,2.45,3.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Independent Floor,1500.0,1526.0,1.33,1.35,,,,,,,,,,,,,,,,,,,,,,1170.0,1530.0,1.5,1.96
,,,,,,,,,,Apartment,1911.0,2132.0,1.43,2.25,Apartment,2500.0,3035.0,2.2,3.59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Apartment,3265.0,3900.0,3.28,3.92,Apartment,3265.0,7500.0,2.77,6.36,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Villa,1935.0,2259.0,,,Villa,3222.0,4968.0,,,,,,,,,,,,,,346.54,10839.26,2.06,49.62
,,,,,Apartment,1099.0,1099.0,1.05,1.6,Apartment,1359.0,1689.0,1.36,2.46,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620.0,9000.0,1.01,5.6
,,,,,Apartment,1124.8,1345.6,2.45,2.95,Apartment,1614.4,1625.6,3.53,3.57,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1375.0,1375.0,,,Apartment,2156.0,2156.0,,,Apartment,2857.0,2857.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080.0,1611.0,0.9179999999999999,2.15
,,,,,Apartment,1578.0,1578.0,76.0,0.9468000000000001,Apartment,1815.0,2035.0,0.8798999999999999,1.09,Apartment,2600.0,2600.0,1.27,1.56,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,1695.0,1800.0,1.22,1.96,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,721.19,734.43,95.0,0.9671,Apartment,974.68,1302.01,1.16,1.66,Apartment,1598.78,2255.49,1.84,2.59,Apartment,4747.0,4801.0,,,,,,,,,,,,,,,,,
,,,,,Apartment,1305.0,1615.0,0.8028,1.73,Apartment,1762.0,2051.0,1.0,2.2,Villa,3194.0,3307.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,1799.0,2086.0,1.6,2.2,Apartment,2273.0,2576.0,1.99,2.85,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,1846.0,1930.0,1.4,1.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1255.0,1676.0,2.75,5.48,Apartment,1700.0,3464.0,3.65,11.32,Apartment,3800.0,4615.0,9.75,15.08,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,582.33,635.07,44.0,0.48009999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Villa,3153.0,3153.0,3.4,3.5,Villa,3147.0,3854.0,3.4,4.16,Villa,5036.0,7330.0,5.43,7.9,,,,,,,,,,,,,,,
,,,,,Apartment,1380.0,1380.0,,,Apartment,1860.0,4800.0,2.78,7.2,Apartment,3975.0,8297.0,5.87,12.45,Apartment,9838.0,10000.0,14.76,15.0,,,,,,,,,,,,,,,
,,,,,Independent Floor,1350.0,1350.0,,,Independent Floor,1550.0,1550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1194.79,1478.0,,,Apartment,1478.0,1914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260.0,1260.0,,
,,,,,,,,,,Apartment,2500.0,2500.0,3.5,5.59,Apartment,2858.0,4272.0,3.9,9.96,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1351.0,1351.0,,,Apartment,1983.0,1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161.0,1611.0,0.93,1.29
,,,,,,,,,,Villa,3000.0,3000.0,,,Villa,4000.0,4000.0,,,Villa,6150.0,7650.0,,,,,,,,,,,,,,540.0,4500.0,0.8,7.75
,,,,,,,,,,Apartment,1590.0,1590.0,,,Apartment,2407.0,2407.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,1578.0,1578.0,1.37,1.5,Apartment,2010.0,3156.0,1.6,3.25,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1264.0,1264.0,,,Apartment,1751.0,1751.0,,,Apartment,2122.0,2122.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1200.0,1478.0,1.08,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,2000.0,2025.0,2.17,2.23,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2160.0,9000.0,4.44,18.5
,,,,,,,,,,Apartment,1380.0,1380.0,,,Apartment,3390.0,3390.0,,,Apartment,4665.0,4665.0,,,Apartment,8580.0,8580.0,,,,,,,,,,,,
,,,,,,,,,,Apartment,2279.0,2961.0,5.0,6.5,Apartment,2821.0,4995.0,6.19,10.96,Apartment,4111.0,6159.0,9.02,13.51,,,,,,,,,,,,,,,
,,,,,Apartment,2300.0,2300.0,,,Apartment,2685.0,2685.0,,,Apartment,3150.0,4300.0,7.02,9.59,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,822.79,1928.0,1.1,2.58,Apartment,925.7,2000.0,1.25,2.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Apartment,2660.0,2660.0,2.5,3.0,Apartment,3185.0,7054.0,3.1,6.87,Apartment,5840.0,5840.0,5.5,7.0,,,,,,,,,,,,,,,
,,,,,Apartment,1300.0,1350.0,1.03,1.09,Apartment,1950.0,1950.0,1.55,1.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1350.0,1350.0,,,Apartment,1750.0,1750.0,,,Apartment,2400.0,2400.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,Apartment,1300.0,1300.0,,,Apartment,1875.0,1875.0,,,Apartment,2475.0,2475.0,,,,,,,,,,,,,,,,,,,,,,
